Epoch,TrainRMSE,TestRMSE
304,83.0814,129.471
305,82.9952,129.368
306,82.9089,129.261
307,82.8229,129.157
308,82.7375,129.054
309,82.6515,128.95
310,82.5659,128.844
311,82.4815,128.742
312,82.3967,128.641
313,82.3121,128.538
314,82.2277,128.436
315,82.1437,128.335
316,82.0608,128.236
317,81.97,128.113
318,81.8868,128.012
319,81.804,127.911
320,81.7215,127.811
321,81.6389,127.712
322,81.5565,127.611
323,81.4322,127.425
324,81.309,127.244
325,81.2276,127.149
326,81.1468,127.052
327,81.066,126.955
328,80.9855,126.859
329,80.9056,126.762
330,80.8256,126.666
331,80.7457,126.573
332,80.6647,126.472
333,80.5851,126.377
334,80.5059,126.279
335,80.4267,126.178
336,80.3428,126.073
337,80.2245,125.899
338,80.1473,125.804
339,80.0697,125.712
340,79.9531,125.54
341,79.8762,125.449
342,79.7992,125.359
343,79.7226,125.268
344,79.6465,125.178
345,79.5705,125.087
346,79.4951,124.999
347,79.4196,124.91
348,79.3395,124.805
349,79.2648,124.716
350,79.1902,124.627
351,79.1159,124.539
352,79.0435,124.456
353,78.9693,124.366
354,78.8954,124.279
355,78.8221,124.192
356,78.7487,124.106
357,78.6761,124.025
358,78.604,123.94
359,78.5275,123.84
360,78.4543,123.744
361,78.3822,123.659
362,78.311,123.578
363,78.2396,123.49
364,78.1683,123.404
365,78.0918,123.304
366,78.0194,123.212
367,77.9489,123.128
368,77.8789,123.041
369,77.8085,122.958
370,77.7385,122.874
371,77.6685,122.792
372,77.5989,122.708
373,77.5303,122.627
374,77.4615,122.543
375,77.3928,122.459
376,77.3245,122.376
377,77.2562,122.295
378,77.1881,122.213
379,77.1207,122.13
380,77.0529,122.048
381,76.9856,121.968
382,76.9184,121.885
383,76.8515,121.803
384,76.7846,121.721
385,76.7179,121.641
386,76.6515,121.561
387,76.5852,121.481
388,76.5192,121.4
389,76.4535,121.321
390,76.3882,121.242
391,76.3172,121.148
392,76.2519,121.067
393,76.1874,120.989
394,76.123,120.91
395,76.0588,120.832
396,75.9946,120.754
397,75.9305,120.675
398,75.8675,120.599
399,75.8041,120.522
400,75.7414,120.446
401,75.6781,120.368
402,75.6152,120.291
403,75.5516,120.206
404,75.4828,120.112
405,75.4211,120.037
406,75.3582,119.956
407,75.2963,119.88
408,75.2347,119.804
409,75.1734,119.728
410,75.1123,119.653
411,75.0512,119.577
412,74.9902,119.504
413,74.9296,119.43
414,74.8679,119.35
415,74.8075,119.276
416,74.7473,119.204
417,74.6875,119.131
418,74.6278,119.059
419,74.5685,118.987
420,74.5091,118.913
421,74.4499,118.841
422,74.3911,118.769
423,74.3326,118.7
424,74.2741,118.627
425,74.216,118.553
426,74.1583,118.485
427,74.1003,118.413
428,74.0426,118.346
429,73.9857,118.277
430,73.9288,118.208
431,73.8704,118.131
432,73.8128,118.058
433,73.7561,117.989
434,73.7001,117.922
435,73.6439,117.855
436,73.5878,117.784
437,73.5268,117.703
438,73.437,117.566
439,73.3817,117.5
440,73.3218,117.419
441,73.2669,117.355
442,73.2116,117.289
443,73.1554,117.216
444,73.1007,117.149
445,73.0462,117.083
446,72.9594,116.95
447,72.9054,116.884
448,72.8513,116.819
449,72.7977,116.753
450,72.7442,116.688
451,72.6911,116.623
452,72.638,116.56
453,72.5849,116.496
454,72.5324,116.433
455,72.4797,116.368
456,72.4273,116.303
457,72.3736,116.233
458,72.3214,116.17
459,72.2695,116.107
460,72.218,116.043
461,72.1665,115.979
462,72.1149,115.914
463,72.0637,115.851
464,72.0126,115.789
465,71.962,115.731
466,71.9112,115.669
467,71.8606,115.607
468,71.8105,115.547
469,71.7608,115.489
470,71.711,115.427
471,71.6612,115.366
472,71.611,115.3
473,71.5567,115.224
474,71.5076,115.163
475,71.4586,115.102
476,71.4096,115.042
477,71.3611,114.984
478,71.313,114.926
479,71.2616,114.86
480,71.2139,114.802
481,71.1615,114.73
482,71.1136,114.669
483,71.0658,114.612
484,71.0182,114.553
485,70.9669,114.482
486,70.9196,114.423
487,70.8723,114.366
488,70.8263,114.312
489,70.7793,114.254
490,70.7334,114.201
491,70.6877,114.146
492,70.6412,114.087
493,70.5907,114.018
494,70.5444,113.962
495,70.4984,113.904
496,70.4524,113.845
497,70.4072,113.792
498,70.3616,113.735
499,70.3163,113.678
500,70.2716,113.624
501,70.2266,113.567
502,70.1819,113.513
503,70.1371,113.455
504,70.0913,113.394
505,70.0464,113.337
506,70.0024,113.283
507,69.9578,113.226
508,69.9136,113.171
509,69.8697,113.116
510,69.8262,113.062
511,69.7826,113.009
512,69.7392,112.956
513,69.6963,112.906
514,69.6532,112.852
515,69.6107,112.8
516,69.568,112.747
517,69.5252,112.694
518,69.4821,112.637
519,69.4386,112.577
520,69.3947,112.519
521,69.3526,112.467
522,69.3105,112.415
523,69.269,112.363
524,69.2268,112.309
525,69.1852,112.257
526,69.1438,112.206
527,69.1024,112.156
528,69.0609,112.102
529,69.0198,112.051
530,68.9798,112.002
531,68.9386,111.95
532,68.8981,111.9
533,68.8561,111.844
534,68.8158,111.793
535,68.7755,111.743
536,68.7354,111.692
537,68.6956,111.645
538,68.6535,111.591
539,68.6135,111.539
540,68.5743,111.491
541,68.535,111.442
542,68.4964,111.397
543,68.4571,111.348
544,68.4181,111.299
545,68.3793,111.253
546,68.3406,111.204
547,68.3019,111.156
548,68.2636,111.11
549,68.2251,111.062
550,68.187,111.013
551,68.149,110.965
552,68.1111,110.915
553,68.0732,110.868
554,68.0354,110.82
555,67.998,110.771
556,67.9586,110.719
557,67.9221,110.676
558,67.8849,110.632
559,67.8477,110.585
560,67.8109,110.54
561,67.774,110.493
562,67.7338,110.435
563,67.6979,110.391
564,67.6617,110.345
565,67.6253,110.3
566,67.5891,110.255
567,67.5529,110.208
568,67.517,110.164
569,67.481,110.12
570,67.4457,110.074
571,67.4102,110.03
572,67.3745,109.985
573,67.339,109.939
574,67.3037,109.895
575,67.2685,109.85
576,67.2334,109.806
577,67.2012,109.768
578,67.1663,109.724
579,67.1319,109.684
580,67.0965,109.635
581,67.062,109.59
582,67.0278,109.546
583,66.9935,109.502
584,66.9592,109.457
585,66.9251,109.413
586,66.8911,109.37
587,66.8584,109.335
588,66.8214,109.281
589,66.7878,109.239
590,66.754,109.193
591,66.7199,109.146
592,66.6867,109.104
593,66.6538,109.063
594,66.6209,109.02
595,66.5883,108.978
596,66.5548,108.932
597,66.5215,108.886
598,66.489,108.843
599,66.4568,108.803
600,66.4244,108.761
601,66.392,108.72
602,66.3598,108.677
603,66.3281,108.642
604,66.2967,108.604
605,66.265,108.565
606,66.2317,108.517
607,66.1996,108.474
608,66.168,108.433
609,66.1371,108.397
610,66.1057,108.356
611,66.0745,108.317
612,66.0434,108.276
613,66.0124,108.237
614,65.9815,108.198
615,65.9491,108.153
616,65.918,108.112
617,65.8844,108.065
618,65.8553,108.032
619,65.8242,107.991
620,65.7941,107.953
621,65.7638,107.914
622,65.7342,107.877
623,65.7044,107.838
624,65.6744,107.801
625,65.6446,107.767
626,65.6144,107.728
627,65.5852,107.691
628,65.5571,107.659
629,65.5283,107.624
630,65.4983,107.582
631,65.4692,107.544
632,65.4373,107.496
633,65.4075,107.456
634,65.3786,107.419
635,65.3503,107.383
636,65.3204,107.343
637,65.292,107.306
638,65.2634,107.268
639,65.2349,107.231
640,65.2068,107.194
641,65.1784,107.156
642,65.1476,107.11
643,65.1168,107.066
644,65.0888,107.03
645,65.0609,106.995
646,65.0331,106.959
647,65.0053,106.923
648,64.9778,106.888
649,64.9503,106.853
650,64.923,106.82
651,64.8957,106.782
652,64.8686,106.747
653,64.8416,106.712
654,64.8145,106.678
655,64.7877,106.645
656,64.7609,106.61
657,64.7341,106.575
658,64.7074,106.54
659,64.6808,106.505
660,64.6544,106.474
661,64.628,106.44
662,64.6018,106.407
663,64.5753,106.372
664,64.5493,106.338
665,64.5232,106.304
666,64.4972,106.271
667,64.4714,106.238
668,64.4456,106.205
669,64.4197,106.172
670,64.3948,106.143
671,64.3693,106.11
672,64.3325,106.04
673,64.3072,106.008
674,64.2813,105.97
675,64.256,105.937
676,64.2311,105.907
677,64.2062,105.875
678,64.1828,105.848
679,64.1583,105.819
680,64.131,105.779
681,64.1086,105.755
682,64.084,105.723
683,64.0596,105.692
684,64.0351,105.662
685,64.0105,105.631
686,63.9856,105.596
687,63.9613,105.566
688,63.9372,105.538
689,63.9128,105.504
690,63.8888,105.474
691,63.8651,105.443
692,63.842,105.416
693,63.8182,105.385
694,63.7946,105.353
695,63.7703,105.321
696,63.7465,105.289
697,63.7231,105.258
698,63.6987,105.223
699,63.6754,105.194
700,63.6511,105.159
701,63.6283,105.13
702,63.6051,105.099
703,63.582,105.069
704,63.5592,105.04
705,63.5366,105.01
706,63.5139,104.98
707,63.4912,104.951
708,63.4678,104.918
709,63.4454,104.888
710,63.4234,104.862
711,63.4013,104.833
712,63.379,104.803
713,63.3571,104.777
714,63.3348,104.748
715,63.3105,104.715
716,63.2884,104.686
717,63.2666,104.658
718,63.2447,104.631
719,63.2227,104.602
720,63.201,104.573
721,63.1793,104.545
722,63.1576,104.516
723,63.1339,104.479
724,63.1124,104.452
725,63.0911,104.423
726,63.0699,104.394
727,63.0486,104.368
728,63.0274,104.34
729,63.0066,104.313
730,62.9848,104.282
731,62.9639,104.254
732,62.9425,104.224
733,62.9216,104.198
734,62.9009,104.171
735,62.8801,104.142
736,62.8593,104.118
737,62.8391,104.096
738,62.818,104.066
739,62.7975,104.04
740,62.7765,104.007
741,62.7562,103.98
742,62.7359,103.957
743,62.7157,103.929
744,62.6953,103.903
745,62.675,103.875
746,62.6555,103.85
747,62.6358,103.825
748,62.6163,103.801
749,62.5965,103.774
750,62.5767,103.748
751,62.557,103.726
752,62.5355,103.695
753,62.5158,103.67
754,62.4966,103.644
755,62.4771,103.618
756,62.4575,103.592
757,62.436,103.56
758,62.4166,103.535
759,62.3973,103.509
760,62.3757,103.477
761,62.3574,103.456
762,62.3362,103.423
763,62.3172,103.398
764,62.2984,103.376
765,62.2797,103.352
766,62.2609,103.327
767,62.2422,103.303
768,62.2235,103.278
769,62.2052,103.256
770,62.1862,103.228
771,62.1678,103.205
772,62.1497,103.183
773,62.132,103.161
774,62.1137,103.136
